price,ad_title,href,location,square_meter,owner,real_estate_firm,id,img_href
"3 990 000,-","Stjørdal - Enebolig i attraktivt og barnevennlig område | Dobbeltgarasje | Sokkel med bad, 2 sov og kjellerstue",https://www.finn.no/realestate/homes/ad.html?finnkode=132540933,"Soleivangen 12, Stjørdal",162 m²,Eier (Selveier),"Heimdal Eiendomsmegling AS,  avd Stjørdal",132540933,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/3/132/540/933_567907724.jpg
"4 190 000,-",Frøystad Gård/Gausel - Tiltalende og innholdsrik selveierleilighet i toppetasje med 3 soverom og 2 stuer. Utsikt. Carport. Se virtuell visning,https://www.finn.no/realestate/homes/ad.html?finnkode=132553056,"Westergårdveien 12C, Stavanger",130 m²,Eier (Selveier),Notar Stavanger,132553056,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/6/132/553/056_2100966661.jpg
"1 790 000,-",Forus - Kjekk B/L leilighet i 3. etasje. Romslig og solrik terrasse med flott utsikt. Heis. Se virtuell visning,https://www.finn.no/realestate/homes/ad.html?finnkode=132554806,"Nedre Storaberget  28, Stavanger",75 m²,Andel,Notar Stavanger,132554806,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/6/132/554/806_1199063456.jpg
"4 590 000,-",Betydelig påkostet toppleilighet med 2 garasjeplasser. Vannbåren varme. 2 balkonger. Unikt fellesareal på taket.,https://www.finn.no/realestate/homes/ad.html?finnkode=132558742,"Lundeveien 101 Leil. 407, Søgne",76 m²,Eier (Selveier),DNB Eiendom AS,132558742,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/2/132/558/742_1788339762.jpg
"1 250 000,-",Lund - Lys og romslig 2-roms med koselig uteplass - Nyere kjøkken - Kort vei til UIA og Kvadraturen,https://www.finn.no/realestate/homes/ad.html?finnkode=132534639,"St. Olavs Vei 20 B, leil 107, Kristiansand S",44 m²,Andel,DNB Eiendom AS,132534639,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/9/132/534/639_1839192334.jpg
"1 590 000,-",3-roms andelsleilighet - Solrik terrasse - Super beliggenhet - Heis - Nyere kjøkken,https://www.finn.no/realestate/homes/ad.html?finnkode=131676530,"St. Olavs Vei 20 B, leil 104, Kristiansand S",60 m²,Andel,DNB Eiendom AS,131676530,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/0/131/676/530_1244740876.jpg
"3 500 000,-","SJELDEN MULIGHET! Flott 2(3)-roms fra 2007. Egen utleiehybel (9.300,- skattefritt i mnd.). 7.etg. med heis og balkong.",https://www.finn.no/realestate/homes/ad.html?finnkode=132558772,"Alnagata 18, Oslo, Gamle Oslo",60 m²,Andel,Proaktiv Christiania,132558772,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/2/132/558/772_1452610671.jpg
"4 200 000,-","Rasta - Stor, gjennomgående 4-roms selveier i 5. etasje, med garasje, heis og solrik balkong. Meget sentral beliggenhet!",https://www.finn.no/realestate/homes/ad.html?finnkode=132524973,"Søster Mathildes gate 12B, Rasta",83 m²,Eier (Selveier),DNB Eiendom AS,132524973,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/3/132/524/973_1018094393.jpg
"900 000,-",Yven - Yven - Pen leilighet med balansert ventilasjonsanlegg og østvendt balkong.,https://www.finn.no/realestate/homes/ad.html?finnkode=132558658,"Ordfører Karlsens vei 11A, Yven",91 m²,Andel,DNB Eiendom AS,132558658,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/8/132/558/658_1626740132.jpg
"4 250 000,-","Drøbak/Horgen - Nyere halvpart av tomannsbolig, i rolig og solrik boliggrend - Landlige og naturskjønne omgivelser.",https://www.finn.no/realestate/homes/ad.html?finnkode=132558506,"Sørbråtenveien 11f, Drøbak",105 m²,Eier (Selveier),Foss & Co Drøbak,132558506,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/6/132/558/506_1275299742.jpg
