price,ad_title,href,location,square_meter,owner,real_estate_firm,id,img_href
"1 250 000,-","VARATUN - NY PRIS! VISNING MANDAG 29.10 Kl: 18.00
Varatun - Flott 2-roms brl leilighet innenfor bomringen!",https://www.finn.no/realestate/homes/ad.html?finnkode=128105271,"Ståle Kyllingstads vei 2 D, Sandnes",55 m²,Andel,DNB Eiendom AS,128105271,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/1/128/105/271_1853743510.jpg
"3 490 000,-","Biterud, nær Asker sentrum. - Pent oppusset 3-roms leilighet med 16 kvm terrasse og flotte fellesarealer - Kort gangavstand til Asker sentrum.",https://www.finn.no/realestate/homes/ad.html?finnkode=132736263,"Biterudveien 1B, Asker",65 m²,Eier (Selveier),PrivatMegleren Solli & Partnere,132736263,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/3/132/736/263_1567457908.jpg
"3 490 000,-","Moderne leilighet i 3-mannsbolig.Kr.3.490.000,-",https://www.finn.no/realestate/newbuildings/ad.html?finnkode=132090649,"Prost Fergstadsgt 36, Stjørdal",68 m²,Eier (Selveier),Din Boligbygger AS,132090649,https://images.finncdn.no/dynamic/480w/2018/10/vertical-/20/9/132/090/649_1390557244.jpg
"4 100 000,-","En klassisk drøm - Lys og sjelfull 3-roms med balkong og peis. Flotte originale tregulv, teglstein, rosett og stukkatur.",https://www.finn.no/realestate/homes/ad.html?finnkode=132734024,"Rosteds gate 13 A, Oslo, Grünerløkka - Sofienberg",57 m²,Andel,Aktiv Grønland/Bjørvika,132734024,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/4/132/734/024_2027926759.jpg
"11 490 000 - 11 990 000,-","Makrellbekken/Holmen - 3 nye, særdeles innholdsrike boliger - Solrik hage/balkong - God standard - 4sov - 2bad - Garasje",https://www.finn.no/realestate/newbuildings/ad.html?finnkode=132732053,"Øvre Smestadvei 42, Oslo, Røa",156 - 157 m²,Eier (Selveier),PrivatMegleren Nyeboliger Oslo,132732053,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/3/132/732/053_140378467.jpg
"8 250 000,-","BOLTELØKKA - Delikat 3/4-roms hjørneleilighet m/vestvendt balkong, peis, klassiske kvaliteter og moderne standard (2014).",https://www.finn.no/realestate/homes/ad.html?finnkode=132732446,"Sofies gate 84, Oslo, St.Hanshaugen - Ullevål",98 m²,Eier (Selveier),Sem & Johnsen Eiendomsmegling,132732446,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/6/132/732/446_1197778691.jpg
"3 950 000,-",Ebbesvikfjellet - Meget flott og påkostet endeleilighet med høy standard og lekre detaljer. Fast parkering og flere uteplasser.,https://www.finn.no/realestate/homes/ad.html?finnkode=126143475,"Ebbesvikfjellet 9A, Brattholmen",135 m²,Eier (Selveier),DNB Eiendom AS,126143475,https://images.finncdn.no/dynamic/480w/2018/8/vertical-2/09/5/126/143/475_1887001703.jpg
"2 400 000,-","SAGENE/BJØLSEN - Innholdsrik 1-roms mot rolig gate - Helt ny balkong (2018) - Fyring, varmtvann og internett inkl i felleskostn",https://www.finn.no/realestate/homes/ad.html?finnkode=132729095,"Bentsebrugata 29 A, Oslo, Sagene - Torshov",20 m²,Andel,Aktiv Grünerløkka Torshov,132729095,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/132/729/095_1705965234.jpg
"3 990 000,-",Korsvoll - Fantastisk utsiktsleilighet med stort potensiale på Frysja! Skjermet beliggenhet nær marka og BI - Ingen forkjøpsrett!,https://www.finn.no/realestate/homes/ad.html?finnkode=132728043,"Brekkelia 5E, Oslo, Sogn",79 m²,Andel,PrivatMegleren Aksept,132728043,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/3/132/728/043_2114523167.jpg
"1 050 000,-",Momrak - Eigendom med panoramautsikt og solrik,https://www.finn.no/realestate/homes/ad.html?finnkode=132723007,"Fyresdalsvegen 2845, Fyresdal",114 m²,Eier (Selveier),Privat,132723007,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/7/132/723/007_972368992.jpg
"5 600 000,-",#SOFIES HAGE/GRÜNERLØKKA - LYS OG MODERNE TOPPLEILIGHET #3-roms #Solrik vestvendt balkong #Garasjeplass (el-lading) #Heis #Fjernvarme/V.vann inkl.,https://www.finn.no/realestate/homes/ad.html?finnkode=132727734,"Karlstadgata 29, Oslo, Grünerløkka - Sofienberg",71 m²,Eier (Selveier),Schala & Partners Torshov,132727734,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/4/132/727/734_943317458.jpg
"6 500 000,-",Smestad/Hoff - SMESTAD - Lys og lekker 4-roms leilighet. Solrik balkong. Høy standard. Garasjeplass. Ingen dokumentavgift,https://www.finn.no/realestate/homes/ad.html?finnkode=129641705,"Hoffsveien 64C, Oslo, Ullern",105 m²,Andel,Nordvik Majorstuen,129641705,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/129/641/705_2011774711.jpg
"3 500 000,-",#SAGENE - MODERNE OG STILRENT #Strøken 2-roms selveier #Sydvendt balkong #Lekkert bad 2017 #Moderne KVIK kjøkken 2015 #P-plass,https://www.finn.no/realestate/homes/ad.html?finnkode=125286524,"Arendalsgata 6, Oslo, Sagene - Torshov",51 m²,Eier (Selveier),Schala & Partners Sagene,125286524,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/4/125/286/524_1782567443.jpg
"3 350 000,-",Bjerke - Bjerke - Lekker 2-roms leilighet med flott planløsning i 3.etg. Solrik balkong. Garasjeplass. Heis. V.v og fyring inkl!,https://www.finn.no/realestate/homes/ad.html?finnkode=132724800,"Refstadveien 38, Oslo, Bjerke",43 m²,Eier (Selveier),Eie Eiendomsmegling Løren,132724800,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/0/132/724/800_118066186.jpg
"4 450 000,-",Røstadhaugan - ØRLAND - Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=132663923,"DR. MJAALANDS VEI 17 A, Opphaug",270 m²,Eier (Selveier),Privat,132663923,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/3/132/663/923_847480519.jpg
"7 000 000,-",TORSHOV: Herlig 4-r loftsleilighet over to plan med hems. Bad fra 2017. Peisovn. Seperat kjøkken med originalt tregulv.,https://www.finn.no/realestate/homes/ad.html?finnkode=132723527,"Hegermanns gate 3, Oslo, Sagene - Torshov",102 m²,Andel,Aktiv Grünerløkka Torshov,132723527,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/7/132/723/527_1819146554.jpg
"7 400 000,-","Tjøme/Holtane - Eiendom med 2 boenheter, låve, dobbel garasje og stor tomt med potensial for videre utvikling",https://www.finn.no/realestate/homes/ad.html?finnkode=132722169,"Flekkenveien 47 A + B, Tjøme",246 m²,Eier (Selveier),Bakke Sørvik & Partners,132722169,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/9/132/722/169_878269360.jpg
"3 950 000,-",Toppen av Torshovdalen - Lekker 2-roms selveier i prisbelønnet bygg fra 2015. Fantastisk utsikt. Sydvendt stor balkong.  4. etg. Heis. Bør sees!,https://www.finn.no/realestate/homes/ad.html?finnkode=132721812,"Hans Nielsen Haugesgt 37 B, Oslo, Sagene - Torshov",42 m²,Eier (Selveier),OBOS eiendomsmeglere - Ensjø,132721812,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/2/132/721/812_391340553.jpg
"5 800 000,-","LILLE TØYEN HAGEBY - Oppussingsobjekt over to plan med stort potensial. Direkte utgang til hage. Sentralt, barnevennlig.",https://www.finn.no/realestate/homes/ad.html?finnkode=132721490,"Økernveien 39, Oslo, Helsfyr - Sinsen",77 m²,Andel,Aktiv Carl Berner,132721490,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/0/132/721/490_935151411.jpg
"15 000 000,-","Beitostølen - Fritidseiendom med svært høy standard, alt på et plan, panoramautsikt, garasje, 4 soverom, 4 bad og 3 stuer.",https://www.finn.no/realestate/homes/ad.html?finnkode=132721413,"Bjødnabakkvegen 23, Beitostølen",206 m²,Eier (Selveier),PrivatMegleren Dyve & Partnere,132721413,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/3/132/721/413_778522432.jpg
"2 500 000,-","Enebolig med stor tomt  og eget uthus,sentralt beliggende på Brusand.",https://www.finn.no/realestate/homes/ad.html?finnkode=132686766,"FUGLESTADVEGEN 20, Brusand",63 m²,Eier (Selveier),Privat,132686766,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/6/132/686/766_1196107441.jpg
"4 800 000,-","Torshov - Lys, lekker og gjennomgående 3-roms med solrik, sydvendt balkong. Omfattende oppusset i 2018. Peis.",https://www.finn.no/realestate/homes/ad.html?finnkode=127169932,"Roveruds gate 13, Oslo, Sagene - Torshov",67 m²,Andel,Eie Eiendomsmegling Torshov & Sinsen,127169932,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/2/127/169/932_404207771.jpg
"3 990 000,-","Lørenskog - Lekker og romslig 3-roms selveierleilighet med stor balkong, garasjeplass og heis. Fyring og varmtvann i hus",https://www.finn.no/realestate/homes/ad.html?finnkode=125832297,"Kulturhusgata 30, Lørenskog",71 m²,Eier (Selveier),Nordvik Lillestrøm,125832297,https://images.finncdn.no/dynamic/480w/2018/8/vertical-2/06/7/125/832/297_1666150306.jpg
"3 900 000,-","Sagene - Drømmeleilighet i populære Vøyenløkka - Klassisk, lys og fresh - Peis - Fantastisk bakgård - Rolige omgivelser",https://www.finn.no/realestate/homes/ad.html?finnkode=132716419,"Gustav Jensens gate 8, Oslo, Sagene - Torshov",59 m²,Andel,Aktiv Sagene,132716419,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/9/132/716/419_1597857862.jpg
"5 280 000,-","Slemmestad - Lys, attraktiv og usjenert enebolig m/ stor tomt på over 2,5 mål-Beliggende i et  rolig område i Slemmestad-dbl. garasje",https://www.finn.no/realestate/homes/ad.html?finnkode=132665094,"Vardeveien 2, Slemmestad",185 m²,Eier (Selveier),DNB Eiendom AS,132665094,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/4/132/665/094_398203164.jpg
"3 300 000,-",#TORSHOV - Lys og moderne 2-roms i klassisk gård #Totalrenovert i 2012 #Påkostede materialvalg #Perfekt førstegangskjøp #Lave omk.,https://www.finn.no/realestate/homes/ad.html?finnkode=132715200,"Omsens gate 14, Oslo, Sagene - Torshov",38 m²,Andel,Schala & Partners Sagene,132715200,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/0/132/715/200_1921480695.jpg
"1 550 000,-",Seiersten - Stilig 1-roms selveierleilighet med hems - Gangavstand til høyskole og sentrum ,https://www.finn.no/realestate/homes/ad.html?finnkode=132714216,"Seierstensgata 21 A, Fredrikstad",25 m²,Eier (Selveier),EiendomsMegler 1 Fredrikstad,132714216,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/6/132/714/216_1814741656.jpg
"3 400 000,-","Grünerløkka: - Superskjønn 2-roms med god romfølelse. Innbydende bad (2018) med avtrekk. Stilig kjøkken (2016). V.vann, TV og nett inkl",https://www.finn.no/realestate/homes/ad.html?finnkode=132714064,"Sverdrups gate 7 A, Oslo, Grünerløkka - Sofienberg",43 m²,Andel,Aktiv Grünerløkka Torshov,132714064,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/4/132/714/064_790414390.jpg
"7 700 000,-",Jar: Attraktivt atriumshus på en flate med solrik beliggenhet i meget populært område. Oppussingsobjekt.,https://www.finn.no/realestate/homes/ad.html?finnkode=132713873,"Tollef Gravs vei 51, Jar",112 m²,Eier (Selveier),Aktiv Grünerløkka Torshov,132713873,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/3/132/713/873_559271745.jpg
"2 950 000,-","Rosenhoff v/Torshovdalen: Velholdt 2-roms beliggende i områdets vakreste bygård / Fell.utg. kun 2 183,- / Vedovn",https://www.finn.no/realestate/homes/ad.html?finnkode=132709999,"Dynekilgata 9 A, Oslo, Helsfyr - Sinsen",38 m²,Andel,Eie Eiendomsmegling Torshov & Sinsen,132709999,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/9/132/709/999_16001635.jpg
"8 850 000,-",Kolbotn - Innholdsrik enebolig som er nyoppusset i 2018. Solrik terrasse og hage. Separat inngang til u.etg. Garasje.,https://www.finn.no/realestate/homes/ad.html?finnkode=131262565,"Borgenveien 8 A, Kolbotn",197 m²,Eier (Selveier),Eie Eiendomsmegling Frogner,131262565,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/131/262/565_574824661.jpg
"2 600 000,-",Linderud - Strøken nyoppusset 2-roms leilighet med gjennomgående høy standard fra 2017 | kjøkken fra 2017 | Lekkert bad |*parkering,https://www.finn.no/realestate/homes/ad.html?finnkode=132540567,"Erich Mogensøns vei 22, Oslo, Bjerke",29 m²,Andel,DNB Eiendom AS,132540567,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/7/132/540/567_1701045727.jpg
"4 190 000,-",Grønland - Lys og arealeffektiv 2(3)-roms selveier på Grønland Torg | Fyring/VV inkl. | Innglasset balkong | Moderne kjøkken & bad,https://www.finn.no/realestate/homes/ad.html?finnkode=132236266,"Smalgangen 25, Oslo, Gamle Oslo",56 m²,Eier (Selveier),BN Bolig AS,132236266,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/6/132/236/266_1947342297.jpg
"3 000 000,-",Kongsberg sentrum - Sentrumsnær 3-roms med garasjeplass. Selveier. ,https://www.finn.no/realestate/homes/ad.html?finnkode=132703835,"Glabak 5A, Kongsberg",81 m²,Eier (Selveier),Eiendomsmegler 1 Kongsberg,132703835,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/132/703/835_2017220541.jpg
"6 490 000,-","ÅSANE - Stor og flott enebolig i meget barnevennlig område med ekstra inngang til u.etg. 2 garasjer, stor hage og nydeli",https://www.finn.no/realestate/homes/ad.html?finnkode=127924142,"Myrdalskogen 195, Ulset",223 m²,Eier (Selveier),"Eiendomsmegler Vest, Bergen Vest",127924142,https://images.finncdn.no/dynamic/480w/2018/9/vertical-2/27/2/127/924/142_544537377.jpg
"3 490 000,-","Stor enebolig med utleiedel (ikke godkjent), gode solforhold og dobbel garasje i kort avstand til ny E39",https://www.finn.no/realestate/homes/ad.html?finnkode=124291419,"Tøsdalsvegen 19, Os",166 m²,Eier (Selveier),PrivatMegleren Vikøyr & Brandt,124291419,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/9/124/291/419_293437064.jpg
"4 400 000,-",Grünerløkka - Vakker og klassisk 3-roms - Gjennomgående oppusset i 2010 - Flotte detaljer - Attraktiv beliggenhet i rolig sidegate.,https://www.finn.no/realestate/homes/ad.html?finnkode=132699027,"Københavngata 13, Oslo, Grünerløkka - Sofienberg",58 m²,Andel,PrivatMegleren Aksept,132699027,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/7/132/699/027_690186130.jpg
"2 200 000,-",Skriken - Utleieobjekt - Tomannsbolig med kort vei til Rakkestad sentrum - Noen gjenstående prosjekter,https://www.finn.no/realestate/homes/ad.html?finnkode=132695855,"Spurveveien 3, Rakkestad",195 m²,Eier (Selveier),PrivatMegleren Rakkestad,132695855,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/132/695/855_1086412206.jpg
"4 000 000,-",TORSHOV KV. XVII - Klassisk og velholdt 2(3)-roms i populær Torshovgård rett ved Torshovparken - Stort potensiale og meget god beliggenhet!,https://www.finn.no/realestate/homes/ad.html?finnkode=132695762,"Erika Nissens gate 13, Oslo, Sagene - Torshov",63 m²,Andel,PrivatMegleren Soria Moria,132695762,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/2/132/695/762_242154847.jpg
"7 000 000,-",SOLRIKT PÅ GREFSEN - Lekker og nyoppusset (15) halvpart av tomannsbolig - Barnevennlig og naturskjønt - Loft med stort potensiale - Må sees!,https://www.finn.no/realestate/homes/ad.html?finnkode=132695809,"Lilloe-Olsens vei 18B, Oslo, Grefsen - Kjelsås",87 m²,Eier (Selveier),PrivatMegleren Soria Moria,132695809,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/9/132/695/809_507858303.jpg
"9 300 000,-",FROGNER: Townhouse over 3 plan i lukket bakgård. Fasjonabel adresse i et klassisk frognerkvartal.,https://www.finn.no/realestate/homes/ad.html?finnkode=132695685,"Magnus Bergs gate 3D, Oslo, Bygdøy - Frogner",116 m²,Eier (Selveier),PrivatMegleren Excellence,132695685,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/132/695/685_1712053834.jpg
"5 170 000,-",Lekker 3-roms i klassisk gård rett ved Torshovparken - En av de beste beliggenhetene i hele gården - Flytt rett inn!,https://www.finn.no/realestate/homes/ad.html?finnkode=129367401,"Johan Selmers gate 6, Oslo, Sagene - Torshov",69 m²,Andel,PrivatMegleren Soria Moria,129367401,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/1/129/367/401_1740007058.jpg
"4 925 000,-",#GRÜNERLØKKA - MODERNE OG STILRENT MED SUPER BELIGGENHET: Strøken 3-roms selveier fra 2012 med sydvendt balkong | Heis | Lave f.utg.,https://www.finn.no/realestate/homes/ad.html?finnkode=130467146,"Seilduksgata 31A, Oslo, Grünerløkka - Sofienberg",59 m²,Eier (Selveier),Schala & Partners Sagene,130467146,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/6/130/467/146_618213265.jpg
"4 000 000,-","Torshov/Lilleborg - Lekker 2-roms hjørneleil. m/balkong på ca. 15 m², fjernvarme, heis og mul. for parkeringsleie. Idylliske Lilleborg.",https://www.finn.no/realestate/homes/ad.html?finnkode=132691096,"Ivan Bjørndals gate 3, Oslo, Sagene - Torshov",49 m²,Eier (Selveier),PrivatMegleren Soria Moria,132691096,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/6/132/691/096_234849682.jpg
"4 650 000,-",#GRÜNERLØKKA - PEN 3-ROMS #Hybeldel (7000/8' mnd) #Solrik balkong #Heis #Lave felleskostn #Fyr og varmtv. inkl. #Garasjemulighet*,https://www.finn.no/realestate/homes/ad.html?finnkode=95014108,"Sannergata 9, Oslo, Grünerløkka - Sofienberg",75 m²,Eier (Selveier),Schala & Partners Grünerløkka,95014108,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/8/950/141/08_1970066585.jpg
"2 150 000,-",Oksfjordhamn - Godt vedlikeholdt enebolig med fantastisk utsikt og garasje.,https://www.finn.no/realestate/homes/ad.html?finnkode=132666626,"BÆRSLETTA 8, Storslett",166 m²,Eier (Selveier),Privat,132666626,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/l/nul/l_2013683479.jpg
"4 600 000,-",BJØRNDAL Tomannsbolig- Barnevennlig -Parkering medfølger - Vestvendt markterrasse/hage- Mulighet for 5 soverom!,https://www.finn.no/realestate/homes/ad.html?finnkode=132689724,"Grevlinglia 2 B, Oslo, Søndre Nordstrand",133 m²,Eier (Selveier),OBOS Eiendomsmeglere - Lambertseter/Nordstrand & Søndre Nordstrand,132689724,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/4/132/689/724_1063987247.jpg
"4 550 000,-",#GRÜNERLØKKA - FABRIKKLEIL. I ENVEISKJØRT GATE #Spennende og moderne 3-roms fra 2012 #Store vinduer og god takhøyde #Lave felleskostn.,https://www.finn.no/realestate/homes/ad.html?finnkode=131015060,"Falsens gate 26A, Oslo, Grünerløkka - Sofienberg",55 m²,Eier (Selveier),Schala & Partners Carl Berner,131015060,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/07/0/131/015/060_705863446.jpg
"3 790 000,-",MILJØBYEN - Delikat og innbydende 3-roms hjørneleilighet fra 2017 | passivstandard | stor terrasse | parkeringsplass,https://www.finn.no/realestate/homes/ad.html?finnkode=132576385,"Stokkbekken 138, Trondheim",73 m²,Eier (Selveier),"Heimdal Eiendomsmegling AS, Hovedkontor Trondheim",132576385,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/132/576/385_1353500648.jpg
"4 550 000,-",SENTRALT PÅ ILA - Gjennomgående og lekker 3-roms m/attraktiv beliggenhet | Balkong m/optimale solforhold | Høy standard - flytt rett inn ,https://www.finn.no/realestate/homes/ad.html?finnkode=131751586,"Søren Jaabæks Gate 10 B, Oslo, Sagene - Torshov",66 m²,Andel,EiendomsMegler 1 Torshov,131751586,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/6/131/751/586_1957606346.jpg
"5 200 000,-",#ILADALEN - ROMSLIG 3R(4R) TOPPLEILIGHET I VELDREVET BYGÅRD #Lun og fin balkong #God standard  #Nyere bad og kjøkken #Peisovn,https://www.finn.no/realestate/homes/ad.html?finnkode=132686778,"Vøyensvingen 1 A, Oslo, Sagene - Torshov",74 m²,Aksje,Schala & Partners Sagene,132686778,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/8/132/686/778_1899133045.jpg
"3 750 000,-",St. Hanshaugen - Pen og gjennomgående 2-roms - Nydelig bakhage - Peis - God takhøyde - Ingen dokumentavgift eller forkjøpsrett.,https://www.finn.no/realestate/homes/ad.html?finnkode=132686696,"Colletts gate 58 A, Oslo, St.Hanshaugen - Ullevål",57 m²,Andel,PrivatMegleren Aksept,132686696,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/6/132/686/696_2129846542.jpg
"1 650 000,-","HANA - Tomt/Enebolig nær skoler og barnehage, prosjektert. Prisantydning gjelder tomten. God adkomst, nær skoler.",https://www.finn.no/realestate/homes/ad.html?finnkode=114648353,"Sigvat Skalds vei 54, Sandnes",144 m²,Eier (Selveier),DNB Eiendom AS,114648353,https://images.finncdn.no/dynamic/480w/2018/8/vertical-2/19/3/114/648/353_1882200452.jpg
"3 400 000,-",Minde/Wergeland - Rålekker 3-roms med garasje og heisadkomst. Ved bybanen. Nydelige kvaliteter!,https://www.finn.no/realestate/homes/ad.html?finnkode=132685254,"Minde allé 3, Bergen",63 m²,Eier (Selveier),PrivatMegleren Vikebø & Jørgensen,132685254,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/4/132/685/254_379308518.jpg
"1 400 000,-",FAUSKE / HAUAN - moderne og godt utnyttet   2(3)-roms rekkehus i populært og barnevennlig område. Idyllisk beliggenhet!,https://www.finn.no/realestate/homes/ad.html?finnkode=132678606,"Røsslyngveien 13A, Fauske",61 m²,Andel,PROPR AS,132678606,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/6/132/678/606_1618047572.jpg
"3 800 000,-",Klassisk bygårdsleilighet på Torshov - Innbydende og sjarmerende 2-R med usjenert beliggenhet |2.etg.|God takhøyde|Peis| Idyllisk gårdsrom| Ingen forkjøpsrett,https://www.finn.no/realestate/homes/ad.html?finnkode=132484685,"Roveruds gate 2, Oslo, Sagene - Torshov",56 m²,Andel,DNB Eiendom AS,132484685,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/132/484/685_496488698.jpg
"2 690 000,-",Leirvik - Sentral beliggende enebolig med utskilt tomt,https://www.finn.no/realestate/homes/ad.html?finnkode=128487902,"Legene 29, Stord",121 m²,Eier (Selveier),DNB Eiendom AS,128487902,https://images.finncdn.no/dynamic/480w/2018/9/vertical-2/05/2/128/487/902_1728947163.jpg
"3 250 000,-","Ny pris! 2 roms på Gaustad/Sogn m utsikt over byen-nær marka, vestvendt innglasset balkong på 8 kvm, varmtvann inkludert",https://www.finn.no/realestate/homes/ad.html?finnkode=130062345,"Gaustadveien 19 A, Oslo",52 m²,Andel,Eie Eiendomsmegling Vinderen,130062345,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/130/062/345_886865306.jpg
"2 850 000,-",#ILADALEN - NYDELIG 2-R I KLASSISK BYGÅRD: Svært koselig 2-R rett inntil Iladalen #God takhøyde #Nyoppusset 2015 #Rolig beliggenhet!,https://www.finn.no/realestate/homes/ad.html?finnkode=132681972,"Claus Riis' gate 7 C, Oslo, Sagene - Torshov",30 m²,Eier (Selveier),Schala & Partners Torshov,132681972,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/2/132/681/972_1933799856.jpg
"5 190 000,-",ASKIM - Innholdsrik enebolig over 2 plan - 6 Sov - Garasje - Tilbygg fra 2013 - Egen inngang i underetg.,https://www.finn.no/realestate/homes/ad.html?finnkode=127781475,"Nybråtveien 27, Askim",240 m²,Eier (Selveier),BN Bolig AS,127781475,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/127/781/475_1597689176.jpg
"2 690 000,-",Stathelle - Kjellestadbakken ,https://www.finn.no/realestate/homes/ad.html?finnkode=132680601,"Kjellestadbakken 17, Stathelle",181 m²,Eier (Selveier),EiendomsMegler 1 Porsgrunn,132680601,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/1/132/680/601_568301649.jpg
"2 800 000,-",Vatne/ Sandnes - Frittliggende enebolig med garasje. God adkomst. Nær bussholdeplass og populære turområder.,https://www.finn.no/realestate/homes/ad.html?finnkode=132678978,"General Ruges vei 8, Sandnes",91 m²,Eier (Selveier),DNB Eiendom AS,132678978,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/8/132/678/978_229565894.jpg
"1 290 000,-",Søfteland - Lekker 4-roms leilighet i fredelige omgivelser. 12 kvm usjenert terrasse med gode solforhold. IN-ordning,https://www.finn.no/realestate/homes/ad.html?finnkode=132677844,"Haugane 3 B, Søfteland",76 m²,Andel,PrivatMegleren Vikebø & Jørgensen,132677844,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/4/132/677/844_202607837.jpg
"4 200 000,-",#HØYBRÅTEN/HAUGENSTUA - RIVE ELLER PUSSE OPP PÅ HØYBRÅTEN/ HAUGENSTUA #Oppussingsobjekt #Garasje #Solrik tomt #Utviklingsmuligheter,https://www.finn.no/realestate/homes/ad.html?finnkode=132677176,"Høgtunveien 4, Oslo, Furuset",86 m²,Eier (Selveier),Schala & Partners Kalbakken,132677176,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/6/132/677/176_1488944554.jpg
"12 500 000,-","Familievennlig på Røa - Lekker enebolig fra 2008 med hage, uteplasser, inngang fra garasje, egen inngang til kjeller, 5 sov og flott beliggenhet",https://www.finn.no/realestate/homes/ad.html?finnkode=132676623,"Melumveien 72 C, Oslo, Røa",169 m²,Eier (Selveier),PrivatMegleren Dyve & Partnere,132676623,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/3/132/676/623_1974275063.jpg
"2 790 000,-",Vallalia - Innholdsrikt rekkehus med atrium og stor terrasse med meget gode sol- og utsiktsforhold - Fast garasjeplass,https://www.finn.no/realestate/homes/ad.html?finnkode=132675993,"Vallalia 231, Nesttun",107 m²,Eier (Selveier),PrivatMegleren Vikebø & Jørgensen,132675993,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/3/132/675/993_428782872.jpg
"2 990 000,-",Attraktiv enebolig til salgs,https://www.finn.no/realestate/homes/ad.html?finnkode=132670835,"Skarvedne 4, Veavågen",138 m²,Eier (Selveier),Privat,132670835,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/132/670/835_1783367507.jpg
"4 790 000,-",HØYBRÅTEN - Flott vertikaldelt tomannsbolig med garasje. Flere solrike terrasser med tilhørende hage. Familieidyll!,https://www.finn.no/realestate/homes/ad.html?finnkode=132675348,"Granliveien 21, Oslo, Furuset",110 m²,Eier (Selveier),iHUS Premium,132675348,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/8/132/675/348_663989985.jpg
